Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units
Electricity;baseload;ELECTRICITY;15024.64583;15607.1538;42975.40259;0;[GWh]
Electricity;variable;LIGHTING;8090.193908;12262.7637;14172.73915;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;43538.75162;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;73994.18952;38590.0862;11324.44726;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;18913.81936;8650.674753;2933.941688;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;220134.2832;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;115172.9776;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;55004.11346;0;[GWh]
