{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Hydro_dam;Hydro_river;Solar
60;0.000131096;0.000160496;0.000206772;0.000114155;0.298323125;0.097555226;0.125537012;0.356367969;0.115141832
61;0.000129796;0.000187495;0.000187974;0.000114155;0.307097335;0.125872728;0.126645178;0.356367969;0.121389218
62;0.000130896;0.000157596;0.000190324;0.000114155;0.19303261;0.167918589;0.127761614;0.356367969;0.044619334
63;0.000128196;0.000166296;0.000213821;0.000114155;0.087742096;0.192064611;0.12886151;0.356348881;0
64;0.000127196;0.000169796;0.00022322;0.000114155;0.026322629;0.151210601;0.129977946;0.356348881;0
65;0.000129996;0.000179495;0.00022322;0.000114155;0;0.134292935;0.131094382;0.356348881;0
66;0.000138996;0.000171895;0.000164478;0.000114155;0;0.114539106;0.132202548;0.356348881;0
67;0.000142095;0.000148696;0.000117484;0.000114155;0;0.125475444;0.133318984;0.35632025;0
68;0.000136496;0.000145596;8.8113E-05;0.000114155;0;0.144975453;0.13441888;0.35632025;0
69;0.000127096;0.000150096;5.8742E-05;0.000114155;0;0.166461882;0.135535316;0.35632025;0
70;0.000117996;0.000192495;3.75949E-05;0.000114155;0;0.169320117;0.136643482;0.35632025;0
71;0.000113396;0.000233694;2.34968E-05;0.000114155;0;0.166461882;0.137759918;0.356301162;0
72;0.000101697;0.000292392;9.39872E-06;0.000114155;0;0.151011959;0.138868084;0.356301162;0
73;9.74969E-05;0.000298692;5.8742E-06;0.000114155;0;0.167521305;0.13997625;0.356301162;0
74;9.2977E-05;0.000313292;2.34968E-06;0.000114155;0;0.199028112;0.141092686;0.356301162;0
75;9.3657E-05;0.000263093;1.17484E-06;0.000114155;0;0.236626602;0.142200852;0.35627253;0
76;9.07271E-05;0.000259593;1.40981E-05;0.000114155;0;0.308987419;0.143317287;0.35627253;0
77;8.54972E-05;0.000286992;3.75949E-05;0.000114155;0;0.377165721;0.144425453;0.35627253;0
78;9.01071E-05;0.000290492;9.39872E-05;0.000114155;0;0.371526499;0.145533619;0.35627253;0
79;0.000100797;0.000251193;0.0001821;0.000114155;0;0.297377905;0.146650055;0.356243899;0
80;0.000113996;0.000200995;0.000158603;0.000114155;0;0.301825276;0.147758221;0.356243899;0
81;0.000123196;0.000189795;0.000146855;0.000114155;0.026322629;0.431814304;0.148866387;0.356243899;0
82;0.000128896;0.000174895;0.000164478;0.000114155;0.166709982;0.492753214;0.149974553;0.356243899;0.017782561
83;0.000133496;0.000146696;0.000187974;0.000114155;0.210581029;0.474323663;0.151090989;0.356224811;0.064191146
84;0.000134896;0.000133596;0.000206772;0.000114155;0.219355239;0.554497726;0.152207425;0.356224811;0.112772823
85;0.000133096;0.000148596;0.000187974;0.000114155;0.157935772;0.598607256;0.153315591;0.356224811;0.124647855
86;0.000131896;0.000121497;0.000190324;0.000114155;0.131613143;0.651258385;0.154423757;0.356224811;0.05371153
87;0.000128396;0.000126397;0.000213821;0.000114155;0.070193676;0.736023283;0.155531923;0.356196179;0.029384707
88;0.000126596;0.000127997;0.00022322;0.000114155;0.026322629;0.72952328;0.156648359;0.356196179;0
89;0.000129796;0.000136396;0.00022322;0.000114155;0;0.71579492;0.157756525;0.356196179;0
90;0.000138696;0.000139596;0.000164478;0.000114155;0;0.687080135;0.158864691;0.356196179;0
91;0.000141595;0.000129197;0.000117484;0.000114155;0;0.629308459;0.159981127;0.356177092;0
92;0.000135196;0.000131397;8.8113E-05;0.000114155;0;0.562200616;0.161089293;0.356177092;0
93;0.000126296;0.000134396;5.8742E-05;0.000114155;0;0.446734515;0.162205729;0.356177092;0
94;0.000117596;0.000169296;3.75949E-05;0.000114155;0;0.326026476;0.163313895;0.356177092;0
95;0.000113896;0.000197595;2.34968E-05;0.000114155;0;0.260573982;0.164422061;0.35614846;0
96;0.000103797;0.000245394;9.39872E-06;0.000114155;0;0.288030702;0.165538496;0.35614846;0
97;9.85068E-05;0.000255093;5.8742E-06;0.000114155;0;0.306791323;0.166646662;0.35614846;0
98;9.47769E-05;0.000257593;2.34968E-06;0.000114155;0;0.311371121;0.167763098;0.35614846;0
99;9.4447E-05;0.000215194;1.17484E-06;0.000114155;0;0.341950932;0.168871264;0.356119828;0
100;9.08871E-05;0.000212594;1.40981E-05;0.000114155;0;0.304341406;0.16997943;0.356119828;0
101;8.50573E-05;0.000235494;3.75949E-05;0.000114155;0;0.31595092;0.171087596;0.356119828;0
102;8.52573E-05;0.000242394;9.39872E-05;0.000114155;0;0.374770983;0.172204032;0.356119828;0
103;8.88571E-05;0.000207795;0.0001821;0.000114155;0;0.406608859;0.173320468;0.356100741;0
104;9.4227E-05;0.000168496;0.000158603;0.000114155;0;0.434065579;0.174420364;0.356100741;0
105;0.000102497;0.000158196;0.000146855;0.000114155;0;0.47611144;0.1755368;0.356100741;0
106;0.000108996;0.000146896;0.000164478;0.000114155;0.043871048;0.484597862;0.176644966;0.356100741;0.002659288
107;0.000112896;0.000129297;0.000187974;0.000114155;0.035096838;0.438645377;0.177761402;0.356072109;0.030187371
108;0.000115496;0.000116797;0.000206772;0.000114155;0.061419467;0.494088529;0.178877838;0.356072109;0.11304271
109;0.000115996;0.000135496;0.000187974;0.000114155;0.070193676;0.532018089;0.179977734;0.356072109;0.123198461
110;0.000117696;0.000114997;0.000190324;0.000114155;0.070193676;0.489972228;0.18109417;0.356072109;0.045430994
111;0.000114896;0.000125297;0.000213821;0.000114155;0.043871048;0.497597868;0.182202336;0.356072109;0.023322243
112;0.000113896;0.000129097;0.00022322;0.000114155;0.017548419;0.509803307;0.183318772;0.356053021;0
113;0.000116896;0.000137596;0.00022322;0.000114155;0;0.512187009;0.184418668;0.356053021;0
114;0.000127196;0.000140396;0.000164478;0.000114155;0;0.555159866;0.185535104;0.356053021;0
115;0.000129996;0.000126697;0.000117484;0.000114155;0;0.781313628;0.186651539;0.356053021;0
116;0.000124496;0.000127697;8.8113E-05;0.000114155;0;0.814939281;0.187759705;0.35602439;0
117;0.000115996;0.000132597;5.8742E-05;0.000114155;0;0.848896004;0.188876141;0.35602439;0
118;0.000108297;0.000163396;3.75949E-05;0.000114155;0;0.882852727;0.189976037;0.35602439;0
119;0.000104797;0.000194995;2.34968E-05;0.000114155;0;0.882852727;0.191092473;0.35602439;0
120;9.51469E-05;0.000241894;9.39872E-06;0.000114155;0;0.882852727;0.192200639;0.356005302;0
121;9.1687E-05;0.000250193;5.8742E-06;0.000114155;0;0.882852727;0.193317075;0.356005302;0
122;8.63772E-05;0.000260493;2.34968E-06;0.000114155;0;0.882852727;0.194433511;0.356005302;0
