Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units 
Electricity;baseload;ELECTRICITY;6175;4662;25162;0;[GWh] 
Electricity;variable;LIGHTING;3325;3552;8317;0;[GWh] 
Heat;high temperature;HEAT_HIGH_T;0;0;27840;0;[GWh] 
Heat;space heating;HEAT_LOW_T_SH;32900;11544;7260;0;[GWh] 
Heat;hot water;HEAT_LOW_T_HW;4600;2664;1903;0;[GWh] 
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;125700;[Mpkm] 
Mobility;freight;MOBILITY_FREIGHT;0;0;0;70000;[Mtkm] 
Non energy;Non energy;NON_ENERGY;0;0;31633;0;[GWh]
