Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units
Electricity;baseload;ELECTRICITY;14017.08084;13990.97604;28177.55825;0;[GWh]
Electricity;variable;LIGHTING;7547.658911;10992.90974;9292.598996;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;70249.28032;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;69032.07887;34593.94187;18271.8668;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;17645.44322;7754.865796;4733.881529;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;169282.083;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;75893.44514;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;51443;0;[GWh]
