Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units
Electricity;baseload;ELECTRICITY;14153.51248;13415.75714;29844.73168;0;[GWh]
Electricity;variable;LIGHTING;7621.122103;10540.95204;9842.411511;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;63692.78689;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;69703.98481;33171.6616;16566.52016;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;17817.19059;7436.035619;4292.059734;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;177790.6258;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;84110.10906;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;52028.4712;0;[GWh]
