Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units
Electricity;baseload;ELECTRICITY;14800.73331;15209.14887;39832.21424;0;[GWh]
Electricity;variable;LIGHTING;7969.625629;11950.04554;13136.15576;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;45541.91194;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;72891.45303;37605.98334;11845.47009;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;18631.94643;8430.07007;3068.928461;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;212246.7527;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;109960.2837;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;54044.42356;0;[GWh]
