Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units
Electricity;baseload;ELECTRICITY;13901.42992;13828.10802;26852.52835;0;[GWh]
Electricity;variable;LIGHTING;7485.385342;10864.94202;8855.621051;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;69951.62538;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;68462.51499;34191.2361;18194.44663;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;17499.85573;7664.591922;4713.823485;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;157550.6845;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;66305.89572;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;51086.88865;0;[GWh]
