Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units
Electricity;baseload;ELECTRICITY;14465.16289;14825.78694;36502.98299;0;[GWh]
Electricity;variable;LIGHTING;7788.933863;11648.83259;12038.21779;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;47143.55169;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;71238.81763;36658.08661;12262.05725;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;18209.51262;8217.581654;3176.858006;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;203326.4734;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;104195.4267;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;54533.32219;0;[GWh]
